vocab_number,poj,poj_sandhi,taiwanese_hanji,english
84,"Tio̍h chhùi-khí-kin kā leh, lâi tō͘-kòe chit ê khùn-lân.","Tio̍h3 chhùi2-khí1-kin kā3-leh, lâi7 tō·3-kòe chit2 ê7 khùn3-lân.","著喙齒根咬咧, 來度過這个困難.",We have to grit our teeth and get through this difficulty.
85,"Soaⁿ-téng chìⁿ-hong, chin léng.","Soaⁿ7-téng chìⁿ2-hong, chin7 léng.","山頂箭風, 真冷.",The piercing wind on the mountaintop is very cold.
86,Gín-á tī hái-piⁿ teh chìⁿ-chúi.,Gín1-á tī3 hái1-piⁿ teh2 chìⁿ2-chúi.,囡仔佇海邊咧濺水.,The kids are splashing water at the seaside.
87,Kiám-chhái i bē lâi.,Kiám1-chhái i7 bē3 lâi.,敢採伊袂來.,Maybe he won't come.
88,Goán tiāⁿ-tiāⁿ tī Tâi-pak kòe-mê.,Goán1 tiāⁿ3-tiāⁿ tī3 Tâi7-pak kòe2-mê.,阮定定佇台北過暝.,We often stay overnight in Taipei.
89,Keh-tńg-kang i tio̍h boeh kàu Pîn-tang.,Keh2-tńg1-kang i7 tio̍h3 boeh2 kàu2 Pîn7-tang.,隔轉工伊著欲到屏東.,The next day he was supposed to arrive in Pingtung.
90,Khiâ kha-ta̍h-chhia chiūⁿ-soaⁿ chin chia̍h-la̍t.,Khiâ7 kha7-ta̍h3-chhia chiūⁿ3-soaⁿ chin7 chia̍h3-la̍t.,騎跤踏車上山真食力.,Riding a bike up the mountain is very strenuous.
91,Tī chhù-lāi chin sio-lō.,Tī3 chhù-lāi chin7 sio7-lō.,佇厝內真燒烙.,It's nice and warm inside the house.
92,"Tī chit ê chōng-hóng-hā, lán bē-tàng kè-sio̍k.","Tī3 chit2 ê7 chōng3-hóng1-hā, lán1 bē3-tàng2 kè2-sio̍k.","佇這个狀況下, 咱袂當繼續.",Under these circumstances we cannot continue.
93,Hó pêng-iú sio-thīn pang-chān.,Hó1 pêng7-iú sio7-thīn pang7-chān.,好朋友相伨幫贊.,Good friends support each other.
94,Gín-á kâm thn̂g-á tī chhùi-lāi.,Gín1-á kâm thn̂g7-á tī3 chhùi3-lāi.,囡仔含糖仔佇喙內.,The child is holding candy in his mouth.
95,Hāⁿ-kòe lâi.,Hāⁿ3-kòe lâi.,迒過來.,Step across over here.
96,"Ka-siōng kin-á-ji̍t lo̍h-hō·, lán mài chhut-khì.","Ka7-siōng kin7-á1-ji̍t lo̍h3-hō·, lán1 mài2 chhut-khì.","加上今仔日落雨, 咱莫出去.","On top of that, it's raining today, so let's not go out."
97,Lo̍h-hō· tio̍h-ài chhēng hō·-moa.,Lo̍h3-hō· tio̍h3-ài2 chhēng3 hō·3-moa.,落雨著愛穿雨幔.,When it rains you should put on a rain cape.
98,Mài hō· kui-kí sok-pa̍k.,Mài2 hō· kui7-kí sok2-pa̍k.,莫予規矩束縛.,Don't be bound by rules.
99,I bô lâi ê iân-kò· góa m̄-chai.,I7 bô7 lâi ê7 iân7-kò· góa1 m̄3-chai.,伊無來的緣故我毋知.,I don't know the reason he didn't come.
100,Pak-pō· kin-á-ji̍t thàu-hong.,Pak2-pō· kin7-á1-ji̍t thàu2-hong.,北部今仔日透風.,It's windy in the north today.
101,Goán chhù-téng ū chin-chē chhù-chiáu-á.,Goán1 chhù2-téng ū3 chin7-chē3 chhù2-chiáu1-á.,阮厝頂有真濟厝鳥仔.,There are many sparrows on our roof.
102,Phêⁿ-ô· ū chin-chē sió-tó.,Phêⁿ7-ô· ū3 chin7-chē3 sió1-tó.,澎湖有真濟小島.,Penghu has many small islands.
103,I poa̍h-tó kah chhè-siong.,I7 poa̍h3-tó kah2 chhè2-siong.,伊跋倒甲擦傷.,He fell and got an abrasion.
104,Lāu-su ê chek-jīm chin tāng.,Lāu3-su ê7 chek2-jīm chin7 tāng.,老師的責任真重.,A teacher's responsibility is heavy.
105,"Thiⁿ àm a, ài tńg-khì.","Thiⁿ àm a3, ài2 tńg-khì.","天暗矣, 愛轉去.",It's getting dark — we should go home.
106,Chi̍t kong-kin ū chi̍t-chheng kong-kek.,Chi̍t3 kong7-kin ū3 chi̍t3-chheng7 kong7-kek.,一公斤有一千公克.,One kilogram has one thousand grams.
107,Goán pa-pah ê kha-thâu-u thiàⁿ.,Goán1 pa7-pah ê7 kha7-thâu7-u thiàⁿ.,阮爸爸的跤頭趺疼.,My father's knee hurts.
108,I khiâ chhia lōng-tio̍h pa̍t-lâng.,I7 khiâ7 chhia lōng3-tio̍h pa̍t3-lâng.,伊騎車撞著別人.,He was riding and bumped into someone.
109,Lō·-kháu chin chē chhia.,Lō·3-kháu chin7 chē3 chhia.,路口真濟車.,There are many cars at the intersection.
110,Góa ê kha-ta̍h-chhia chhia-liām pháiⁿ--khì.,Góa1 ê7 kha7-ta̍h3-chhia chhia7-liām pháiⁿ1-khì.,我的跤踏車車鏈歹去.,My bicycle chain broke.
111,Su-tong-sî i iáu sī sè-hàn gín-á.,Su7-tong7-sî i7 iáu1 sī3 sè2-hàn gín1-á.,斯當時伊猶是細漢囡仔.,At that time he was still a small child.
112,Lán nn̄g ê sio-kēng kòe chit ê khùn-lân.,Lán1 nn̄g3 ê7 sio7-kēng kòe2 chit2 ê7 khùn3-lân.,咱兩个相挺過這个困難.,The two of us supported each other through this difficulty.
113,Lí mài tī chia lōng-tiûⁿ.,Lí1 mài2 tī3 chia lōng3-tiûⁿ.,你莫佇遮弄場.,Don't cause a scene here.
114,"Khiâ chhia siuⁿ chē, kah-au-tú thiàⁿ.","Khiâ7 chhia siuⁿ chē, kah2-au7-tú thiàⁿ.","騎車傷濟, 跤後肚疼.",Riding too much makes my calves hurt.
115,Chit ê í-chū-á chin nńg.,Chit2 ê7 í1-chū3-á chin7 nńg.,這个椅苴仔真軟.,This chair cushion is very soft.
116,"Chhia lāu-iû, ài kā siu-lí.","Chhia lāu3-iû, ài2 kā3 siu7-lí.","車漏油, 愛共修理.",The car is leaking oil — need to fix it.
117,Bîn-á-chài goán boeh chhut-soaⁿ.,Bîn7-á1-chài goán1 boeh2 chhut2-soaⁿ.,明仔載阮欲出山.,Tomorrow we hold the funeral procession.
118,I sī Lāu-su ê chō·-lí.,I7 sī3 Lāu3-su ê7 chō·3-lí.,伊是老師的助理.,He is the teacher's assistant.
119,Bîn-nî ū soán-kí.,Bîn7-nî ū3 soán1-kí.,明年有選舉.,Next year there will be an election.
